21 	 1	 horfa	 1 	 {'horfðu', 'horfðist', 'horfði'}
20 	 S	 drekka	 42 	 {'drakkst', 'drukku', 'drekktu', 'drekktust', 'drakk'}
20 	 2	 banna	 1 	 {'bönnuðu', 'bannaði'}
19 	 2	 undra	 1 	 {'undruðu', 'undraði', 'undraðist', 'undruðust'}
19 	 1	 vara	 1 	 {'varði', 'varaðist', 'varðist'}
19 	 1	 flýja	 j2 	 {'flýði', 'flýðu'}
19 	 2	 játa	 1 	 {'játti', 'jáði', 'jáðu', 'játaði', 'játuðu', 'játaðist', 'játtu'}
18 	 1	 fæða	 32 	 {'fæddu', 'fæddumst', 'fæddi', 'fæddist'}
18 	 1	 bæta	 32 	 {'bætti'}
18 	 1	 dvelja	 4j2 	 {'dveldi', 'dvaldist', 'dvaldi', 'dvöldust'}
18 	 S	 geta	 42 	 {'gat', 'get$', 'gátu', 'gæti'}
18 	 1	 velja	 4j2 	 {'veldi', 'valdi'}
17 	 S	 gráta	 1 	 {'grét', 'grétu', 'grétuð'}
17 	 1	 sigla	 42 	 {'sigldi', 'sigldu'}
17 	 S	 reka	 42 	 {'ráku', 'ræki', 'rak'}
17 	 1	 lýsa	 2 	 {'lýstu', 'lýsti', 'lýstist', 'lýstust'}
17 	 1	 þora	 1 	 {'þori', 'þorði', 'þorir', 'þorðu'}
17 	 S	 vega	 42 	 {'vó', 'vógu'}
16 	 S	 bíða	 2 	 {'beðist', 'biðu', 'beið', 'biða', 'biði'}
16 	 1	 rétta	 2 	 {'réttumst', 'rétti', 'réttu'}
16 	 1	 skipta	 42 	 {'skiptu', 'skiptist', 'skipti', 'skiptust'}
16 	 2	 kasta	 1 	 {'köstuðuð', 'kastaði', 'köstuðu'}
15 	 S	 sofa	 1 	 {'svaf', 'sváfu'}
15 	 1	 sætta	 32 	 {'sættust', 'sætti'}
15 	 S	 unna	 1 	 {'unni', 'ynni', 'unnuð'}
14 	 S	 róa	 1 	 {'reru', 'reri'}
14 	 S	 brenna	 42 	 {'brunnu', 'brenndu', 'brenndi', 'brann'}
14 	 S	 slá	 0 	 {'sló'}
14 	 S	 ljósta	 1 	 {'laust'}
14 	 1	 varðveita	 412 	 {'varðveitti', 'varðveiti', 'varðveittu'}
14 	 S	 spretta	 42 	 {'spretti', 'spratt', 'spruttu'}
14 	 2	 eggja	 4j2 	 {'eggjuðu', 'eggjaði', 'eggjuðust'}
14 	 1	 selja	 4j2 	 {'seldu', 'seldi'}
14 	 S	 sverja	 4j2 	 {'sóru', 'svörðu', 'sór', 'sværu', 'sor'}
14 	 1	 misgera	 42 	 {'misgerði', 'misgerðu', 'misgjörumst', 'misgjörði'}
14 	 1	 virða	 42 	 {'virtu', 'virðu', 'virði', 'virti'}
14 	 S	 víkja	 j2 	 {'veik', 'víkst', 'viku'}
13 	 S	 éta	 2 	 {'át', 'átu'}
13 	 1	 þegja	 4j2 	 {'þegðu', 'þögðu', 'þegði', 'þagði'}
13 	 2	 fagna	 1 	 {'fögnuðu', 'fagnaði'}
13 	 S	 deyja	 43j2 	 {'dó', 'dæi', 'do', 'dóu'}
13 	 1	 byggja	 4j2 	 {'byggði', 'byggðu', 'byggir'}
13 	 1	 létta	 2 	 {'létti', 'léttum'}
13 	 S	 brjóta	 1 	 {'brutuð', 'brutu', 'brutum', 'braut'}
12 	 1	 kaupa	 1 	 {'keypti', 'keyptist', 'keyptust', 'keyptu'}
12 	 S	 vaxa	 1 	 {'óx'}
12 	 1	 semja	 4j2 	 {'semdi', 'samdi'}
12 	 1	 stýra	 2 	 {'stýrðu', 'stýrði'}
12 	 1	 hugða	 1 	 {'hugðu'}
12 	 1	 minna	 42 	 {'minntist', 'minnti', 'minntust'}
11 	 2	 þakka	 1 	 {'þakkaði', 'þökkuðu'}
11 	 2	 fasta	 1 	 {'föstuðu', 'fastaði'}
11 	 1	 þola	 1 	 {'þoldi', 'þoldu', 'þyldi'}
11 	 1	 gæta	 32 	 {'gæta', 'gætti', 'gætist', 'gættu'}
11 	 1	 skorta	 1 	 {'skorti'}
10 	 S	 gjalda	 1 	 {'gyldi', 'guldu', 'galt'}
10 	 2	 helga	 42 	 {'helgumst', 'helgaðist', 'helgaði', 'helguðust'}
10 	 1	 smyrja	 4j2 	 {'smurði'}
10 	 2	 elska	 42 	 {'elskaðir', 'elskaði'}
10 	 S	 genga	 42 	 {'gengu', 'gengust'}
10 	 1	 yrkja	 4j2 	 {'orti'}
10 	 1	 missa	 42 	 {'misstu', 'missti'}
10 	 1	 fýsa	 2 	 {'fýsti', 'fýstist', 'fýstu'}
10 	 S	 stökkva	 1 	 {'stökk', 'stökkti', 'stukku'}
9 	 1	 nefna	 42 	 {'nefndi', 'nefndu', 'nefndum'}
9 	 S	 kjósa	 1 	 {'kuru', 'kaus', 'kjöri'}
9 	 1	 ræða	 32 	 {'ræddir', 'ræddi', 'ræddu', 'ræddum'}
9 	 1	 eyða	 432 	 {'eyddist', 'eyddu', 'eyddust', 'eyddi'}
9 	 1	 hlýða	 2 	 {'hlýddi', 'hlýddið', 'hlýddu'}
9 	 1	 vekja	 4j2 	 {'vakti', 'vöktu', 'vekir'}
9 	 1	 treysta	 432 	 {'treystumst', 'treystist'}
9 	 2	 opna	 1 	 {'opnaði', 'opnuðu', 'opnuðust', 'opnaðist'}
9 	 1	 neita	 42 	 {'neitti', 'neittuð', 'neituðu', 'neitaði'}
9 	 2	 boða	 1 	 {'boðaði', 'boðuðu'}
9 	 2	 votta	 1 	 {'vottuðu', 'vottaði'}
9 	 2	 sofna	 1 	 {'sofnaði'}
9 	 1	 græða	 32 	 {'græddu', 'græðist', 'græddi'}
8 	 S	 bíta	 2 	 {'beit', 'bitu'}
8 	 1	 þýða	 2 	 {'þýðist', 'þýddi'}
8 	 1	 reyna	 432 	 {'reyndu', 'reyndist', 'reyndi'}
8 	 2	 skapa	 1 	 {'skóp', '(vbdi skóp', 'skapaði'}
8 	 2	 þjóna	 1 	 {'þjónaði', 'þjónuðu', 'þjónaðir'}
8 	 1	 riða	 42 	 {'riðu'}
8 	 1	 hitta	 42 	 {'hitti', 'hittum', 'hittust'}
7 	 S	 hanga	 1 	 {'héngu', 'hékk'}
7 	 2	 hugsa	 1 	 {'hugsuðu', 'hugsaði', 'hugsaða'}
7 	 1	 vitja	 4j2 	 {'vitjaði'}
7 	 1	 skíra	 2 	 {'skírðist', 'skírði'}
7 	 1	 gegna	 42 	 {'gegndi'}
7 	 1	 tjá	 0j 	 {'tjáða', 'tjáði'}
7 	 S	 springa	 42 	 {'sprakk', 'spryngi', 'sprungu'}
7 	 1	 birta	 42 	 {'birtu', 'birti', 'birtist'}
7 	 1	 hlífa	 2 	 {'hlífðu', 'hlífði'}
7 	 1	 þerra	 42 	 {'þerrði'}
7 	 S	 leika	 42 	 {'léku', 'lék', 'léki'}
7 	 2	 heilsa	 42 	 {'heilsaði', 'heilsuðu'}
7 	 1	 vænta	 32 	 {'vænti', 'vættum'}
7 	 1	 samþykkja	 41j2 	 {'samþykktu', 'samþykkti'}
7 	 1	 þrengja	 4j2 	 {'þröngðist', 'þrengduð', 'þrengdi', 'þröngdu', 'þröngdi'}
7 	 1	 fylla	 42 	 {'fylldi', 'fylltust', 'fyllti', 'fylltu'}
7 	 1	 huga	 1 	 {'hugðak', 'hugði', 'hugða'}
7 	 1	 greina	 42 	 {'greindist', 'greindi'}
7 	 S	 bresta	 42 	 {'brast'}
6 	 2	 hreinsa	 42 	 {'hreinsaðist', 'hreinsaði'}
6 	 S	 skína	 2 	 {'skein', 'skinu'}
6 	 1	 gifta	 42 	 {'giftist', 'gifti'}
6 	 1	 hræða	 32 	 {'hræddist', 'hræðist', 'hræðumst'}
6 	 2	 sanna	 1 	 {'sönnuðu', 'sannaðist', 'sannaði'}
6 	 S	 binda	 42 	 {'bast', 'bundu', 'batt'}
6 	 S	 blása	 1 	 {'blés'}
6 	 1	 hugleiða	 412 	 {'hugleiddi'}
6 	 1	 veiða	 42 	 {'veiddu', 'veiddi'}
6 	 1	 vígja	 j2 	 {'vígði'}
6 	 1	 hæfa	 32 	 {'hæfði'}
6 	 S	 verpa	 42 	 {'varp', 'orptist', 'urpu'}
6 	 1	 geyma	 432 	 {'geymdi', 'geymdu'}
6 	 2	 batna	 1 	 {'batnaði'}
6 	 1	 týna	 2 	 {'týndust', 'týndi', 'týndu'}
6 	 S	 fela	 42 	 {'fólu', 'fal'}
6 	 1	 leiðrétta	 42 	 {'leiðrétti', 'leiðréttist', 'leiðréttust'}
6 	 S	 fljúga	 1 	 {'flygi', 'fló', 'flugu', 'flaug'}
6 	 2	 snara	 1 	 {'snaraði', 'snöri', 'snaraðist'}
5 	 1	 leyna	 432 	 {'leyndu', 'leyndist', 'leyndi'}
5 	 S	 þrjóta	 1 	 {'þraut'}
5 	 2	 efa	 42 	 {'efaði', 'efaðist'}
5 	 S	 drífa	 2 	 {'dreif', 'drifu'}
5 	 1	 særa	 32 	 {'særði', 'særðu'}
5 	 1	 herja	 4j2 	 {'herjaði'}
5 	 S	 þrífa	 2 	 {'þreif'}
5 	 2	 kvonga	 1 	 {'kvongaðist'}
5 	 2	 harma	 1 	 {'hörmuðu', 'harmaði'}
5 	 S	 lúta	 1 	 {'lutu', 'laut'}
5 	 2	 stöðva	 1 	 {'stöðvaði', 'stöðvaðist'}
5 	 1	 eira	 42 	 {'eirði', 'eirðu'}
5 	 2	 þagna	 1 	 {'þagnaði'}
5 	 2	 predika	 42 	 {'predikaði', 'predikuðu'}
5 	 S	 fljóta	 1 	 {'flotuðu', 'flaut', 'flutu'}
5 	 S	 lesa	 42 	 {'las'}
5 	 2	 safna	 1 	 {'safnaði', 'söfnuðust'}
5 	 S	 merkja	 4j2 	 {'merktu', 'merkti'}
5 	 1	 krefja	 4j2 	 {'krafði'}
5 	 1	 steypa	 432 	 {'steyptist', 'steypti', 'steyptust'}
5 	 1	 reisa	 42 	 {'reisti', 'reistir'}
5 	 S	 strjúka	 1 	 {'strauk'}
5 	 S	 fóra	 1 	 {'fóru'}
4 	 1	 gleðja	 4j2 	 {'glaða', 'gladdi', 'gladdist'}
4 	 1	 mæta	 32 	 {'mættust', 'mættist'}
4 	 1	 nýta	 2 	 {'nýttist', 'níttir', 'nýttu', 'nýti'}
4 	 1	 verja	 4j2 	 {'varðist', 'varði', 'vörðu'}
4 	 2	 brotna	 1 	 {'brotnuðu', 'brotnaði'}
4 	 S	 grafa	 1 	 {'grófu', 'gróf'}
4 	 S	 funda	 1 	 {'fundumst', 'fundu', 'fundust'}
4 	 2	 vora	 1 	 {'voraði'}
4 	 2	 skrifta	 42 	 {'skriftaði', 'skriftaðist'}
4 	 1	 kyssa	 42 	 {'kyssti'}
4 	 1	 styrka	 42 	 {'(vbdi styrkti', 'styrkti'}
4 	 1	 hefna	 42 	 {'hefndi'}
4 	 2	 þökka	 1 	 {'þökkuðu'}
4 	 1	 hella	 42 	 {'helt'}
4 	 1	 gleyma	 432 	 {'gleymdist', 'gleymdu', 'gleymdi'}
4 	 1	 ræna	 32 	 {'rændu', 'rændist', 'ræntu'}
4 	 1	 nenna	 42 	 {'nennti'}
4 	 1	 henda	 42 	 {'henti', 'hentu'}
4 	 S	 skera	 42 	 {'skáru', 'skar'}
4 	 1	 lama	 1 	 {'lamdist'}
4 	 1	 hleypa	 432 	 {'hleyptu', 'hleypti'}
4 	 1	 klæða	 32 	 {'klæddi'}
4 	 1	 bannsetja	 41j2 	 {'bannsetti$', 'bannsetti'}
4 	 1	 gera	 42 	 {'gerðist', 'gjörir', 'gerumst', 'gerða'}
4 	 2	 samna	 1 	 {'samnaði', 'sömnuðu', 'samnaðist', 'sömnuðum'}
4 	 1	 fella	 42 	 {'felldu'}
4 	 1	 fremja	 4j2 	 {'framdi'}
4 	 S	 njóta	 1 	 {'nytir', 'njótum', 'nutu'}
4 	 1	 dæma	 32 	 {'dæmdi', 'dæmdu'}
4 	 S	 skjálfa	 1 	 {'skalf'}
4 	 1	 hirða	 42 	 {'hirtum', 'hirti'}
4 	 1	 skýra	 2 	 {'skýrði', 'skýrðu'}
4 	 1	 vakta	 1 	 {'vakta', 'vöktuð'}
4 	 1	 ljá	 0j 	 {'léðir', 'léði', 'lér'}
4 	 1	 saga	 1 	 {'sagði'}
4 	 2	 blessa	 42 	 {'blessaði'}
4 	 S	 sökkva	 1 	 {'sökk', 'sökkti'}
4 	 1	 skilda	 42 	 {'skildust', 'skilduð'}
4 	 S	 hrökkva	 1 	 {'hrukku', 'hrökk'}
4 	 1	 æpa	 32 	 {'æpti', 'æptu'}
4 	 1	 snæða	 32 	 {'snæddi', 'snæddu'}
4 	 S	 meta	 42 	 {'mat', 'mast'}
4 	 1	 una	 1 	 {'undi', 'yndi'}
4 	 2	 launa	 1 	 {'launaða', 'launaði', 'launuðu'}
3 	 2	 sakna	 1 	 {'söknuðu', 'saknaði'}
3 	 1	 greiða	 42 	 {'greiðist', 'greiddi'}
3 	 2	 tálma	 1 	 {'tálmaði'}
3 	 S	 seta	 42 	 {'sat'}
3 	 1	 dreifa	 42 	 {'dreifðust', 'dreifði', 'dreifðist'}
3 	 1	 byrgja	 4j2 	 {'byrgðu', 'byrgði'}
3 	 2	 dýrka	 2 	 {'dýrkuðum', 'dýrkaðist'}
3 	 1	 pína	 2 	 {'píndu', 'píndi'}
3 	 2	 minnka	 42 	 {'(vbdi minnkaðist', 'minnkaðist'}
3 	 S	 þjóta	 1 	 {'þutu', 'þaut'}
3 	 1	 spara	 1 	 {'sparði'}
3 	 S	 hníga	 2 	 {'hné'}
3 	 S	 sparða	 1 	 {'spörðu', 'sperði'}
3 	 1	 skeina	 42 	 {'skeindist'}
3 	 1	 gista	 42 	 {'gistu', 'gisti'}
3 	 1	 háða	 1 	 {'háði'}
3 	 S	 grípa	 2 	 {'greip'}
3 	 1	 styðja	 4j2 	 {'studdi'}
3 	 2	 slitna	 42 	 {'slitnuðu', 'slitnaði'}
3 	 1	 reiða	 42 	 {'reiddu', 'reiddi'}
3 	 2	 líkna	 2 	 {'líknaði'}
3 	 S	 stóða	 1 	 {'stóðu', 'stóðust'}
3 	 2	 ótta	 1 	 {'óttuðust'}
3 	 2	 stanga	 1 	 {'stangaði'}
3 	 2	 vista	 42 	 {'vistuðu', 'vistaði'}
3 	 1	 fletta	 42 	 {'flettu'}
3 	 1	 mæa	 32 	 {'mæðist'}
3 	 2	 skora	 1 	 {'skoruðu', 'skoraði', 'skoraðir'}
3 	 1	 glotta	 1 	 {'glotti'}
3 	 S	 hrinda	 42 	 {'hratt'}
