8 	 S	 ljúka	 1 	 {'$lukti', 'lyki', 'lauk', 'luku'}
8 	 1	 flytja	 j24 	 {'flyttum', 'flutti', 'flytti', 'fluttu', 'fluttust'}
8 	 1	 tengja	 j24 	 {'tengdi', 'tengdumst', 'tengdist'}
8 	 1	 skifta	 24 	 {'skiftu', 'skiftust', 'skifti'}
8 	 1	 treysta	 243 	 {'treysti'}
8 	 2	 kasta	 1 	 {'köstuðu', 'kastaði'}
8 	 2	 vísa	 2 	 {'vísaði'}
8 	 2	 þakka	 1 	 {'$þökkuðum', 'þakkaði'}
8 	 1	 kenna	 24 	 {'kenndi'}
8 	 S	 snerta	 24 	 {'snerti', 'snertu', 'snart'}
8 	 2	 gruna	 1 	 {'grunaði'}
8 	 1	 vara	 1 	 {'varðist', 'varaði', 'vöruðu', 'varði', 'varaðist'}
8 	 S	 brjóta	 1 	 {'brutu', 'braut'}
8 	 1	 flýta	 2 	 {'flýtti', 'flýttum', 'flýttu'}
8 	 S	 hanga	 1 	 {'héngu', 'hékk'}
7 	 1	 stefna	 24 	 {'stefndu', 'stefndi', 'stefndum'}
7 	 1	 þrá	 0 	 {'þráðu', 'þráði'}
7 	 2	 rifja	 j24 	 {'rifjuðu', 'rifjaðist'}
7 	 2	 skrifa	 24 	 {'skrifaði'}
7 	 2	 varpa	 1 	 {'varpaði', 'vörpuðu', 'varpaðist', '$varpaði', '$vörpuðu', 'vörpuðum'}
7 	 2	 óska	 1 	 {'óskuðu', 'óskaði'}
7 	 S	 nema	 24 	 {'næmi', 'nam'}
6 	 2	 skoða	 1 	 {'skoðaði'}
6 	 S	 deyja	 j243 	 {'dó', 'dóu', 'dæju'}
6 	 S	 víkja	 j2 	 {'vikju', 'vék'}
6 	 S	 stíga	 2 	 {'stigi', 'stigu', 'sté', 'steig'}
6 	 1	 kyssa	 24 	 {'kyssti'}
6 	 S	 aka	 1 	 {'óku', 'ók'}
6 	 S	 gráta	 1 	 {'grét', 'grétu'}
6 	 2	 stafa	 1 	 {'stafaði', 'stöfuðu'}
6 	 2	 þagna	 1 	 {'þagnaði', 'þögnuðu'}
6 	 2	 laga	 1 	 {'lagaði', 'lagaðist', 'lagaðir'}
6 	 1	 klæða	 23 	 {'klæddi', 'klæddu', 'klæddist'}
6 	 1	 glotta	 1 	 {'glotti', 'glottu'}
6 	 1	 frétta	 2 	 {'fréttist', 'fréttu', 'frétti'}
6 	 1	 læra	 23 	 {'lær$', 'lærði', 'lærðu'}
6 	 2	 reika	 24 	 {'reikaði'}
6 	 S	 skjóta	 1 	 {'skutust', 'skutu', 'skaust', 'skaut'}
6 	 S	 súpa	 1 	 {'supu', 'saup'}
6 	 S	 njóta	 1 	 {'naut', 'nutu', 'nyti'}
5 	 S	 stökkva	 1 	 {'stökk'}
5 	 2	 lofa	 1 	 {'lofaðir', 'lofaði'}
5 	 S	 spretta	 24 	 {'spruttu', 'sprettu', 'spratt'}
5 	 2	 titra	 24 	 {'titruðu', 'titraði', '(vbdi titraði'}
5 	 2	 tapa	 1 	 {'töpuðust', 'töpuðu', 'tapaði'}
5 	 S	 rísa	 2 	 {'risu', 'reis', 'risi'}
5 	 2	 roðna	 1 	 {'roðnaði'}
5 	 S	 fela	 24 	 {'fól', 'fólst'}
5 	 1	 heimta	 24 	 {'heimtaði', 'heimtuðu'}
5 	 1	 leyna	 243 	 {'leyndi', 'leyndust', 'leyndist'}
5 	 2	 hjálpa	 1 	 {'hjálpaði', 'hjálpuðu'}
5 	 1	 skýra	 2 	 {'skýrðist', '$skýrði', 'skýrði', 'skýrðu'}
5 	 1	 trúa	 1 	 {'tryði', 'trúði', 'tryðu'}
5 	 S	 springa	 24 	 {'spryngi', 'sprungum', 'sprakk'}
5 	 1	 hleypa	 243 	 {'hleypti'}
5 	 S	 valda	 1 	 {'olli', 'ollu'}
5 	 2	 líka	 2 	 {'líkaði'}
5 	 1	 ryðja	 j24 	 {'ruddist', 'ruddumst', 'ruddi', 'ruddu'}
5 	 1	 skorta	 1 	 {'skorti'}
5 	 S	 kjósa	 1 	 {'kusu', 'kysi', 'kaus'}
5 	 1	 leyfa	 243 	 {'leyfði', 'leyfðu'}
5 	 1	 herða	 24 	 {'herti', 'hertu'}
5 	 S	 rjúka	 1 	 {'ryki', 'rauk'}
5 	 1	 blasa	 1 	 {'blasti'}
5 	 1	 streyma	 243 	 {'streymdi', 'streymdu'}
5 	 2	 sofna	 1 	 {'sofnaði', 'sofnuðu'}
5 	 1	 stara	 1 	 {'störðu', 'starði'}
5 	 1	 létta	 2 	 {'létti'}
5 	 2	 reikna	 24 	 {'reiknaði'}
5 	 1	 breiða	 24 	 {'breiddi', 'breiddum'}
5 	 1	 þeyta	 243 	 {'þeytti'}
5 	 2	 hrópa	 1 	 {'hrópaði'}
5 	 1	 hvetja	 j24 	 {'hvatti'}
5 	 2	 tauta	 1 	 {'tautaði'}
4 	 1	 líkja	 j2 	 {'líktist'}
4 	 1	 fæða	 23 	 {'fæddi', 'fæddist', 'fæddust'}
4 	 S	 bíta	 2 	 {'beit'}
4 	 2	 hika	 24 	 {'hikaði', 'hikuðu'}
4 	 2	 tákna	 1 	 {'táknaði'}
4 	 1	 hvíla	 2 	 {'hvíldi'}
4 	 1	 gnæfa	 23 	 {'gnæfðu', '$gnæfði', 'gnæfði'}
4 	 1	 eyða	 243 	 {'eyddi'}
4 	 2	 elda	 24 	 {'eldi', 'eldaði', 'elduðum'}
4 	 1	 hrynja	 j24 	 {'hrundu', 'hryndi'}
4 	 2	 loka	 1 	 {'lokaði', 'lokuðu', 'lokaðist'}
4 	 S	 vinda	 24 	 {'vatt', 'undu'}
4 	 1	 skynja	 j24 	 {'skynjaði'}
4 	 2	 kvarta	 1 	 {'kvartaði', 'kvörtuðu'}
4 	 2	 hljóma	 1 	 {'hljómuðu', 'hljómaði'}
4 	 1	 fletta	 24 	 {'fletti'}
4 	 2	 losa	 1 	 {'losaðist', 'losaði', 'losuðu'}
4 	 1	 gæta	 23 	 {'gætti'}
4 	 1	 kynna	 24 	 {'kynntumst', 'kynnti', '$kynnti'}
4 	 2	 flögra	 1 	 {'flögraði', 'flögruðu'}
4 	 1	 hreyfa	 243 	 {'hreyfði'}
4 	 2	 halla	 1 	 {'hallaðist', 'hallaði'}
4 	 1	 þylja	 j24 	 {'þuldi', 'þuldu'}
