TOTAL	SHORTONLY	TYPE	VAL	tolerable
300	TRUE	theta	10.446487954214756	TRUE
300	FALSE	theta	13.349144383840082	FALSE
350	TRUE	theta	11.432521184018636	TRUE
350	FALSE	theta	14.654360200558338	FALSE
400	TRUE	theta	12.39925280675178	TRUE
400	FALSE	theta	16.115624084910145	FALSE
450	TRUE	theta	12.781110931766573	TRUE
450	FALSE	theta	16.656188606234352	FALSE
500	TRUE	theta	13.349144383840082	TRUE
500	FALSE	theta	17.90342276770138	FALSE
550	TRUE	theta	14.838694159804142	TRUE
550	FALSE	theta	19.306981310670018	FALSE
600	TRUE	theta	15.934577403116974	TRUE
600	FALSE	theta	21.203525305927318	FALSE
650	TRUE	theta	17.193048524484684	FALSE
650	FALSE	theta	22.561429857571962	FALSE
700	TRUE	theta	18.080087614593236	FALSE
700	FALSE	theta	24.06993736477499	FALSE
750	TRUE	theta	18.95812980169449	FALSE
750	FALSE	theta	25.395392498072216	FALSE
800	TRUE	theta	20.689830729634938	FALSE
800	FALSE	theta	27.845636409035535	FALSE
850	TRUE	theta	21.544595838365417	FALSE
850	FALSE	theta	29.296052253408494	FALSE
900	TRUE	theta	22.73000630239446	FALSE
900	FALSE	theta	30.41484705523397	FALSE
950	TRUE	theta	23.234260757530414	FALSE
950	FALSE	theta	31.367726367832397	FALSE
1000	TRUE	theta	23.569229892414597	FALSE
1000	FALSE	theta	32.31526870849087	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.3429448190325175	TRUE
50	FALSE	theta	5.06832618826664	FALSE
100	TRUE	theta	6.0002541057009395	TRUE
100	FALSE	theta	7.117339969270795	FALSE
150	TRUE	theta	7.335366744787423	TRUE
150	FALSE	theta	9.437989027588253	FALSE
200	TRUE	theta	8.612251926827732	TRUE
200	FALSE	theta	10.6453783959665	FALSE
250	TRUE	theta	9.027406962818835	TRUE
250	FALSE	theta	11.040582830640032	FALSE
300	TRUE	theta	10.04599127792245	TRUE
300	FALSE	theta	12.590509388058893	FALSE
350	TRUE	theta	11.040582830640032	TRUE
350	FALSE	theta	14.284155657240678	FALSE
400	TRUE	theta	11.821378995623839	TRUE
400	FALSE	theta	15.934577403116974	FALSE
450	TRUE	theta	12.39925280675178	TRUE
450	FALSE	theta	16.656188606234352	FALSE
